index,program_name,category
1702,Business Management Finance,International Business and Finance
1703,International Relations With Honors,Law and International Relations
1704,Math And Economics,Mathematics and Finance
1705,Public Finance,Mathematics and Finance
1706,"Electrical Engineering, Entrepreneurship",Engineering 
1707,"Psychology, History, Journalism",History and Social Sciences
1708,"Art, History, Politics",History and Social Sciences
1709,Broadcast Journalism,Engineering 
1710,"Mechanical And Aerospace Engineering, Mems",Engineering 
1711,Commercial Engineering In Management Information Systems,Software and Computer Engineering
1712,Media And Communications,Marketing and Economics
1713,"Chemistry, Molecular Biology, Statistics",Molecular and Biological Sciences
1714,Electrical Engineering And Mathematics,Engineering 
1715,Ingeniería De Sistemas / Computer Science,Software and Computer Engineering
1716,Engineering Psychology,Engineering 
1717,Materials Chemistry,Engineering 
1718,"Law, Northern Planning And Development Studies",Law and International Relations
1719,Agriculture,Marketing and Economics
1720,"Ecology And Evolutionary Biology, Renewable Energy, Environmental Studies",Sustainable Energy Engineering
1721,"Biology, Philosophy",Molecular and Biological Sciences
1722,"Economics, Geography",Marketing and Economics
1723,Design And Communication Strategies,Information and Data Management
1724,Motion Design,Engineering 
1725,Probabilistic Machine Learning,Information and Data Management
1726,Auditing And Financial Risks,Banking and Finance Specialization
1727,Climate And Environmental Science,Molecular and Biological Sciences
1728,Biology And Philosophy,Philosophy and Cognitive Studies
1729,"Computer Science, Networks, Mathematics",Software and Computer Engineering
1730,Marketing And Communication,Marketing and Economics
1731,"Geography, German, Graphic Design, Design Technology",Cultural and Regional Studies
1732,"Electrical Engineering, Computer And Systems Engineering",Software and Computer Engineering
1733,Stem Cell Biology,Molecular and Biological Sciences
1734,The Role Of Technology In Innovation,Engineering 
1735,Blockchain Strategy,Mathematics and Finance
1736,Information Technology Analyst Computer Engineering,Software and Computer Engineering
1737,"Aeronautics/aviatioerospace Science And Technology, General",Engineering 
1738,Master In Business And Technology,Software and Computer Engineering
1739,Business And Entrepreneurship,Marketing and Economics
1740,Integrative Biology,Molecular and Biological Sciences
1741,Entomology,Molecular and Biological Sciences
1742,"Finance, Accounting, And Economics",Mathematics and Finance
1743,International Business And Strategy,International Business and Finance
1744,Business And History,History and Social Sciences
1745,"Machine Learning, Data Mining",Information and Data Management
1746,Technology Policy,Engineering 
1747,Technological Innovation,Engineering 
1748,Culinary Arts/chef Training,Psychology and Counseling
1749,Medical Science,General Sciences
1750,Diagnostic Imaging,General Sciences
1751,Surgery,Engineering 
1752,"Computer Science / Statistics, Business Option",Software and Computer Engineering
1753,"Management, Entrepreneurship",Marketing and Economics
1754,Aa,Engineering 
1755,Manufacturing And Supply Chain Management,Marketing and Economics
1756,Stanford Prevention Research Center,Psychology and Counseling
1757,Nutrition,Marketing and Economics
1758,Environmental Health Sciences,Molecular and Biological Sciences
1759,Certificate Program In Innovation And Entrepreneurship,International Business and Finance
1760,Dietetics/dietitian,General Sciences
1761,Registered Nursing/registered Nurse,General Sciences
1762,Pharmacology And Experimental Therapeutics,Molecular and Biological Sciences
1763,Operations / Entreprenuership,International Business and Finance
1764,Biological Physics,Molecular and Biological Sciences
1765,"Foundations Of Quantum Mechanics, Paradoxes In Quantum Mechanics",Mathematics and Finance
1766,Renewable Energy,Sustainable Energy Engineering
1767,"Computer Science Data Mining, Economics, And Web Development",Software and Computer Engineering
1768,Business Engineering,Engineering 
1769,Financial Analysis,Mathematics and Finance
1770,Learning To Learn,Engineering 
1771,"Engineering, Applied Mathematics",Engineering 
1772,"Communications, Business Leadership",Marketing and Economics
1773,"Product Design, Mechanical Engineering",Engineering 
1774,"Genetics, Bioengineering",Molecular and Biological Sciences
1775,Chemistry And Spanish,Molecular and Biological Sciences
1776,"Finance, Management, Real Estate",Mathematics and Finance
1777,"Calculus, Linear Algebra, Electromagnetism, Psychology",Mathematics and Finance
1778,Film,Engineering 
1779,Music And Sound Recording,Software and Computer Engineering
1780,Bit Business Information Technology,Information and Data Management
1781,"Computer Security, Web Apps, Psychology, Economics",Software and Computer Engineering
1782,Media Arts And Practice,Cultural and Regional Studies
1783,"Computer Science, Secondary In Linguistics",Software and Computer Engineering
1784,"Biology, Physics, Mathematics",Molecular and Biological Sciences
1785,"Southeast Asian Studies, Chinese",Cultural and Regional Studies
1786,"International Development, Chinese Language",International Business and Finance
1787,The Law School,Law and International Relations
1788,Molecular Genetics And Cell Biology,Molecular and Biological Sciences
1789,Business Honors/marketing,Marketing and Economics
1790,Marketing And International Business,International Business and Finance
1791,Media Management And Marketing,Marketing and Economics
1792,International Development,International Business and Finance
1793,Economics And Political Science,Marketing and Economics
1794,Messing Around,Psychology and Counseling
1795,정책학,Engineering 
1796,W19,History and Social Sciences
1797,"Computer Science Engineering, Economics",Software and Computer Engineering
1798,"Computer Science, Business Administration",Software and Computer Engineering
1799,Computational Biology And Bioinformatics,Molecular and Biological Sciences
1800,English And Music Theory,Cultural and Regional Studies
1801,"Economics, International Development And Policy",International Business and Finance
1802,Biomedical Mechanical Engineering And Computing Technology,Engineering 
1803,"Robotics, Cognition, Intelligence",Philosophy and Cognitive Studies
1804,Automotive Computer Science,Software and Computer Engineering
1805,Ecology And Evolutionary Biology,Molecular and Biological Sciences
1806,3d Modeling And Interaction In Vr,Software and Computer Engineering
1807,Molecular And Cell Biology,Molecular and Biological Sciences
1808,Computer Science With Business Option,Software and Computer Engineering
1809,Exponential Fundraising,Mathematics and Finance
1810,"Epidemiology, Health Communication",Psychology and Counseling
1811,Executive Program For Nonprofit Leaders,Psychology and Counseling
1812,Epidemiology Of Infectious Diseases,Molecular and Biological Sciences
1813,Public Policy / Human Sexuality,History and Social Sciences
1814,"Computer Engineering, Specialization In Cognitive Science And Advanced Algorithms",Software and Computer Engineering
1815,Electronic Engineer,Engineering 
1816,Clinical Informatics Management,Information and Data Management
1817,"Electromagnetic Compatibility, Embedded Systems, System Control Theory",Software and Computer Engineering
1818,"Strategic Management, Operations, Marketing",Marketing and Economics
1819,Alumni,Engineering 
1820,Philosophy And Psychology,Philosophy and Cognitive Studies
1821,Physics And Computer Sciece,General Sciences
1822,Physics And Economics With A Focus In Electrical Engineering,Engineering 
1823,"Computer Science, Advertising",Marketing and Economics
1824,Petroleum Engineering,Engineering 
1825,Computing And Data Science And Finance,Mathematics and Finance
1826,Design Management,Engineering 
1827,Aerospace Engineering And Physics,Engineering 
1828,"Electrionics Engineering, Computer Science",Software and Computer Engineering
1829,Physics And Aerospace Engineering,Engineering 
1830,Communication And Media Design,Marketing and Economics
1831,"Philosophy, Politics And Economics",Philosophy and Cognitive Studies
1832,Contemporary Art And Art History,History and Social Sciences
1833,A+ Achievement Camp,Engineering 
1834,"Physics, Economics",Mathematics and Finance
1835,Physics With Electronics,Engineering 
1836,Economics And French,Marketing and Economics
1837,Cours De Civilization,History and Social Sciences
1838,"Computer Science, Business Administration, French",Software and Computer Engineering
1839,Fine Art,Engineering 
1840,Cell/cellular And Molecular Biology,Molecular and Biological Sciences
1841,Quantum And Atomic Physics,Molecular and Biological Sciences
1842,Political Economies Of Industrialized Societies,History and Social Sciences
1843,Chemical And Systems Biology,Molecular and Biological Sciences
1844,Entrepreneurship / Innovation,Marketing and Economics
1845,Entrepreneuriat / Innovations Technologiques,Marketing and Economics
1846,Admission École Polytechnique,Engineering 
1847,General Engineering,Engineering 
1848,Climate Change And The Energy Transition,Sustainable Energy Engineering
1849,Engineering Science And Mechanics,Engineering 
1850,Ibdp,Engineering 
1851,Translation,Engineering 
1852,"Music Business Degree Publishing, Distribution, Music Law, Marketing, Pr",Marketing and Economics
1853,Minor: Computer Science,Software and Computer Engineering
1854,Translational Medicine,Cultural and Regional Studies
1855,Web Programming,Software and Computer Engineering
1856,Mandarin Language,Software and Computer Engineering
1857,Chinese,Engineering 
1858,Managerial Economics,Marketing and Economics
1859,Making Something People Want,Marketing and Economics
1860,"Entrepreneurship, Economics",Marketing and Economics
1861,Health Economics,Marketing and Economics
1862,Fuqua School Of Business,Marketing and Economics
1863,"International Relations, Asian Studies",Law and International Relations
1864,Jammin' Out! Guitar,Mathematics and Finance
1865,Masters Of Science Telecommunications,Software and Computer Engineering
1866,Marketing And Advertisement,Marketing and Economics
1867,Escuela De Producción Audiovisual,Cultural and Regional Studies
1868,(yc W20),Engineering 
1869,Focusing On Marketing,Marketing and Economics
1870,Mathematics With Minor In Computer Science,Software and Computer Engineering
1871,Gcl,General Sciences
1872,Climate Change: Learning For Action,Sustainable Energy Engineering
1873,Eo/london Business School: Break The Barriers To Growth,Marketing and Economics
1874,Waterplan,Engineering 
1875,Economic Development,Marketing and Economics
1876,"Computer Science, Minor In Music",Software and Computer Engineering
1877,"Economics, Legal Studies",Mathematics and Finance
1878,Technology And Intelligence Studies,Philosophy and Cognitive Studies
1879,Bachelor’s Degree Electrical Engineering,Engineering 
1880,"Entrepreneurship, Venture Finance, Operations, Marketing",International Business and Finance
1881,International Tourism Management,International Business and Finance
1882,Honors Bachelor Of Business And Computer Science,Software and Computer Engineering
1883,Operations Research And Engineering,Engineering 
1884,Journalism With An Emphasis In Public Relations,Law and International Relations
1885,Engineering Biomedical Engineering,Engineering 
1886,Finance And Management,Mathematics and Finance
1887,Operations And Information Management,Information and Data Management
1888,"Electrical Engineering, Control Systems",Engineering 
1889,"Executive, Strategic Management, Small And Medium Companies, Business Plan",Marketing and Economics
1890,Maths And Artificial Intelligence,Mathematics and Finance
1891,Technological Entrepeneurship,Engineering 
1892,"Computer Science, Human",Software and Computer Engineering
1893,Kahneman Center For Behavioral Science And Public Policy,Psychology and Counseling
1894,Berkman Klein Center For Internet And Society,History and Social Sciences
1895,Corporate And Commercial Law,Marketing and Economics
1896,"International Peace And Security, Global Health Security",Law and International Relations
1897,Humanitarian Affairs,Law and International Relations
1898,"Computer Science, Software Engineering, Communication, Project Management, Marketing",Software and Computer Engineering
1899,Technology And Management,Information and Data Management
1900,"Computer And Systems Engineering, Computer Science",Software and Computer Engineering
1901,Bussines,Marketing and Economics
1902,Multimedia Engineering,Software and Computer Engineering
1903,Quantitative Techniques For Financial Markets,Mathematics and Finance
1904,Matemáticas,General Sciences
1905,Science Branch,General Sciences
1906,Art Studies,Cultural and Regional Studies
1907,Ingeniería De Telecomunicaciones,Engineering 
1908,Laws,Law and International Relations
1909,Industrial Management,Engineering 
1910,"Computer Science, Studio Art, Spanish Literature",Software and Computer Engineering
1911,Endeavor Innovation And Growth Program,Engineering 
1912,Molecular Bioengineering,Molecular and Biological Sciences
1913,Bachelor Of Computer Science,Software and Computer Engineering
1914,Physics Engineering,Engineering 
1915,"Physics, Philosophy",Philosophy and Cognitive Studies
1916,High School Degree,Engineering 
1917,Computer Science/philosophy,Software and Computer Engineering
1918,Computer Engineer And Computer Science,Software and Computer Engineering
1919,Foreign Service,International Business and Finance
1920,Structural And Earthquake Engineering,Engineering 
1921,Electrical Engineering/cs,Engineering 
1922,Entrepreneurship And Innovation Track,Marketing and Economics
1923,Leave Of Absence Since 2016,Law and International Relations
1924,Chemistry And Mat Sci,General Sciences
1925,Japanese Language And Literature,Cultural and Regional Studies
1926,Ece/cs And Econ/finance,International Business and Finance
1927,History And Political Science,History and Social Sciences
1928,Entrepreneurship And Business Administration,Marketing and Economics
1929,"Entrepreneurship, Marketing And Business Analytics",Marketing and Economics
1930,Quantity Surveying,Mathematics and Finance
1931,"History, Math And Computer Science",History and Social Sciences
1932,Human Centered Robotics,Engineering 
1933,Nerve Regeneration,Engineering 
1934,Brain Computer Interfaces,Software and Computer Engineering
1935,"Chemistry, Chemical Enigineering",Molecular and Biological Sciences
1936,"Entrepreneurship/entrepreneurial Studies, Business Administration",Marketing and Economics
1937,Fluid And Thermal Sciences,General Sciences
1938,Eecs: Electrical Engineering And Computer Sciences,Software and Computer Engineering
1939,"General Education, Science And Mathematics Specialization",General Sciences
1940,"Physics, Music",General Sciences
1941,Technology And Policy Program,Software and Computer Engineering
1942,Quantitative Economics,Mathematics and Finance
1943,Gestion Empresarial Europea,International Business and Finance
1944,Environmental Studies / International Development,Cultural and Regional Studies
1945,Social Policy,History and Social Sciences
1946,Development Planning,Software and Computer Engineering
1947,"International Studies, Linguistics, Cognitive Science",Cultural and Regional Studies
1948,"Biology/biological Sciences, General",Molecular and Biological Sciences
1949,Mass Communication/media Studies,Marketing and Economics
1950,Wildlife Biology,Molecular and Biological Sciences
1951,Museum Studies,Cultural and Regional Studies
1952,Trumpet Performance,Engineering 
1953,Genetic Resources In Crop Breeding,Marketing and Economics
1954,New Plant Breeding Technologies,Sustainable Energy Engineering
1955,Environmental Archaeology/anthropology,History and Social Sciences
1956,Environmental Archaeology,History and Social Sciences
1957,Plant Sciences,Molecular and Biological Sciences
1958,Engineering/liberal Arts,Engineering 
1959,Chinese Minor,Cultural and Regional Studies
1960,Computer Science Specialist,Software and Computer Engineering
1961,Printmaking And Curatorial Studies,Cultural and Regional Studies
1962,"History, Spanish",History and Social Sciences
1963,"Microbiology, Deferred",Molecular and Biological Sciences
1964,Biotechnology Commercialization,Marketing and Economics
1965,Biochemistry And Molecular Biophysics/ Molecular And Cellular Biology/ Applied Mathematics,Molecular and Biological Sciences
1966,Biochemistry And Molecular Biophysics,Molecular and Biological Sciences
1967,Finance And Italian,Mathematics and Finance
1968,Real Estate,Mathematics and Finance
1969,Ict Innovation,Information and Data Management
1970,Secondary School,Engineering 
1971,A - Levels,General Sciences
1972,Social Innovation,History and Social Sciences
1973,Pharmaceuticals,Molecular and Biological Sciences
1974,"Business Administration And Management, Finance, Minor In Technopreneurship",Banking and Finance Specialization
1975,Japanese,Engineering 
1976,Business/managerial Economics,Marketing and Economics
1977,Leadership And Management,Marketing and Economics
1978,Experimental Psychology,Psychology and Counseling
1979,938 %,Marketing and Economics
1980,Security Studies,Software and Computer Engineering
1981,"Operations Research, Financial Engineering",Mathematics and Finance
1982,Physics And Math,Mathematics and Finance
1983,Information Networks Division,Information and Data Management
1984,Negocios Internacionales/comercio Internacional,International Business and Finance
1985,Yc S21,Psychology and Counseling
1986,Physcis,General Sciences
1987,English Literature And Biology,Molecular and Biological Sciences
1988,Ophthalmology,General Sciences
1989,Neurobiology/computer Science,Software and Computer Engineering
1990,"Entrepreneurship, Innovation And Small Business Management",Marketing and Economics
1991,Cyber Security,Software and Computer Engineering
1992,Sociology And Business,Marketing and Economics
1993,Dentisrty,Engineering 
1994,Industrial Design And Human Computer Interaction,Software and Computer Engineering
1995,Industrial And Enterprise Systems Engineering,Software and Computer Engineering
1996,Stanford Executive Program,Engineering 
1997,Chemistry And Biology,Molecular and Biological Sciences
1998,Learning Sciences,General Sciences
1999,International Health And Global Development,International Business and Finance
2000,Capacity Development For Agtech,Software and Computer Engineering
2001,Law And Business,Law and International Relations
2002,"Marketing, Management, Operations",Marketing and Economics
2003,Graduated,Engineering 
2004,Graphic And Ux Design,Software and Computer Engineering
2005,Work Psychology And Leadership,Psychology and Counseling
2006,Information Systems Science And Economics,Marketing and Economics
2007,Undergraduate Business Administration,Software and Computer Engineering
2008,"Economics, International Relations",Law and International Relations
2009,Nuclear Science,General Sciences
2010,Electronics And Electrical Communications Engineering,Engineering 
2011,"Computer Science, Computational Biology",Software and Computer Engineering
2012,"Politics, Philosophy And Economics",Marketing and Economics
2013,Winter'20 Batch,Psychology and Counseling
2014,Music / Computer Science,Software and Computer Engineering
2015,Interactive Telecommunications Program,Software and Computer Engineering
2016,"Applied And Engineering Physics, Electrical Engineering",Engineering 
2017,Economics And Econometrics,Marketing and Economics
2018,Statistics And Accounting,Mathematics and Finance
2019,Veterinary Medicine,General Sciences
2020,Philosophy/psychology,Philosophy and Cognitive Studies
2021,Tissue Engineering,Engineering 
2022,"Pet/ct, Nuclear Medicine",Molecular and Biological Sciences
2023,"Economics, Mathematics",Mathematics and Finance
2024,Competitive Intelligence,Marketing and Economics
2025,4th Year Of The Epitech Master Done In China,Cultural and Regional Studies
2026,Near Eastern Languages And Civilizations,Cultural and Regional Studies
2027,Gene Therapy,Molecular and Biological Sciences
2028,Agricultural Biochemistry,Molecular and Biological Sciences
2029,Dual Major In Finance And Accounting,Banking and Finance Specialization
2030,Government And Globalization,Law and International Relations
2031,Internets,Information and Data Management
2032,Intermedia,Marketing and Economics
2033,Physics And Astronomy,General Sciences
2034,Molecular Biochemistry And Biophysics,Molecular and Biological Sciences
2035,Clinical Research,Psychology and Counseling
2036,Quantitative Methods,Mathematics and Finance
2037,Neuroscience And Biology,Molecular and Biological Sciences
2038,Coursework In Chinese Language And Politics,Cultural and Regional Studies
2039,"Political Science, China Studies",History and Social Sciences
2040,International Policy,Law and International Relations
2041,"Electrical Engineering, Mathematics",Engineering 
2042,Digital And Innovation,Marketing and Economics
2043,"Signal Processing, Data And Telecommunications",Information and Data Management
2044,American Civilization,History and Social Sciences
2045,Medical Biology,Molecular and Biological Sciences
2046,Bac S Option Physique,General Sciences
2047,Computing And Communications,Software and Computer Engineering
2048,"Music, Economics, Creative Writing",Marketing and Economics
2049,Medical Engineering And Medical Physics,Engineering 
2050,"Product Design, Biomechanics",Engineering 
2051,Design And Interactive Media,Information and Data Management
2052,Dual: Computer Science And Human Centered Design,Software and Computer Engineering
2053,"Mechactronical Engineering Mechatronics, Robotics, And Automation Engineering",Engineering 
2054,"Physics, Math",Mathematics and Finance
2055,Contabilidade,Philosophy and Cognitive Studies
2056,Finanças,Banking and Finance Specialization
2057,Direito,Marketing and Economics
2058,German Language,Cultural and Regional Studies
2059,Planejamento Tributário,Engineering 
2060,Licenciado En Sistemas,Engineering 
2061,Alumni Batch S20,Engineering 
2062,Bachelor Of Internacional Relations,Law and International Relations
2063,Diploma Of International Student,International Business and Finance
2064,Summer Program: Building Democracies From Conflict,Law and International Relations
2065,"Energy And The World: Politics, Markets And Technology",Sustainable Energy Engineering
2066,Bachelor Of Laws,Law and International Relations
2067,Communications And Media,Marketing and Economics
2068,"Mobile Development, Databases, Network Engineering And Artificial Intelligence",Software and Computer Engineering
2069,Administraã§ã£o De Empresas,International Business and Finance
2070,Microbiology Minors: Chemistry And Biochemistry,Molecular and Biological Sciences
2071,"Economics: Marketing, Communication And Global Markets",Marketing and Economics
2072,"Focus On Math, Physics, And Computer Science",Software and Computer Engineering
2073,Back End Web Development,Software and Computer Engineering
2074,Specialisation In Corporate Finance,Banking and Finance Specialization
2075,Cognitive Science And Philosophy Of Science,Philosophy and Cognitive Studies
2076,"Major In Philosophy, Minor In Communication Science",Philosophy and Cognitive Studies
2077,Analytical Philosophy,Philosophy and Cognitive Studies
2078,"Finance Law, Risk Management",Mathematics and Finance
2079,Launching New Ventures,International Business and Finance
2080,"Molecular, Cellular And Developmental Biology",Molecular and Biological Sciences
2081,Molecular Environmental Biology,Molecular and Biological Sciences
2082,Molecular Cellular And Developmental Biology / Synthetic Biology,Molecular and Biological Sciences
2083,Law And Economics,Law and International Relations
2084,Philosophy And Business Management,Philosophy and Cognitive Studies
2085,Global Governance And Diplomacy,Law and International Relations
2086,"Commerce, History",History and Social Sciences
2087,Geology,General Sciences
2088,Concentration In Marketing,Marketing and Economics
2089,Human Resource Management/ Personalpolitik,Information and Data Management
2090,English Language And Literature,Cultural and Regional Studies
2091,Creative And Media Enterprises,Marketing and Economics
2092,"Journalism, Metropolitan Studies, American Studies",Cultural and Regional Studies
2093,"Entrepreneurship, Operations / Information Management",Information and Data Management
2094,Statistics And Machine Learning,Mathematics and Finance
2095,Social Entrepreneurship,Marketing and Economics
2096,"Mechanical Engineering, Materials Science And Engineering",Engineering 
2097,Computer Science In Control And Management,Software and Computer Engineering
2098,"Biochemistry And Molecular Biology, Microbiology",Molecular and Biological Sciences
2099,Genome Sciences/genomics,Molecular and Biological Sciences
2100,"Computer Science And Design, Innovation, And Society",Software and Computer Engineering
2101,Business Administration / Minor In Ethnic Studies,Cultural and Regional Studies
2102,"Business, Data Science",Information and Data Management
2103,Digital Visual Media,Software and Computer Engineering
2104,Ingenieria En Negocios Internacionales,International Business and Finance
2105,Public Health Systems,History and Social Sciences
2106,"Political Science, Global Health",Law and International Relations
2107,Math/economics,Mathematics and Finance
2108,Physics And Mechanical Engineering,Engineering 
2109,Earth And Planetary Sciences,General Sciences
2110,Information Technology Computer Science,Software and Computer Engineering
2111,Computer Science And Human,Software and Computer Engineering
2112,"Economics And Statistics, Corporate Finance, Accounting, Business Law",Mathematics and Finance
2113,S21 Batch,Psychology and Counseling
2114,Maths,Mathematics and Finance
2115,Maths And Cs,Mathematics and Finance
2116,Ia And Blockchain,International Business and Finance
2117,"Applied Computational Mathematics, Business Economics And Management, Control And Dynamic Systems",Mathematics and Finance
2118,"Pharmaceutical Chemistry, Chemistry",Molecular and Biological Sciences
2119,"Computer Science, Economics, Applied Math",Mathematics and Finance
2120,Cybersecurity,Software and Computer Engineering
2121,"History, Philosophy",History and Social Sciences
2122,Business Administration And Accounting,Mathematics and Finance
2123,Capital Markets,Marketing and Economics
2124,Bachelor Of Computer Information Systems,Software and Computer Engineering
2125,Mining Massive Datasets,Information and Data Management
2126,Undergraduate Computer Engineering,Software and Computer Engineering
2127,Design And Human Computer Interaction,Software and Computer Engineering
2128,Environmental Management And Policy,Sustainable Energy Engineering
2129,Geography,Cultural and Regional Studies
2130,Global Business Leadership,International Business and Finance
2131,Ingeniería Industrial,Engineering 
2132,Supply Chain,Marketing and Economics
2133,"Business Honors And Management Information Systems, Elements Of Computing Certificate",Software and Computer Engineering
2134,Graduate Credits In Data Mining,Software and Computer Engineering
2135,Exchange Student In Computer Science,Software and Computer Engineering
2136,Electrical And Mechanical Engineering,Engineering 
2137,Bioinformatics And Genetics,Molecular and Biological Sciences
2138,"Management, Leadership, Personality Development",Psychology and Counseling
2139,Engineering Mathematics,Engineering 
2140,Urban Economics,Marketing and Economics
2141,"Economics, Mechanical Engineering",Engineering 
2142,Nursing And Healthcare Management,Information and Data Management
2143,Mechatronics And Information Technology,Engineering 
2144,Multimedia Computing,Software and Computer Engineering
2145,Network Engineering,Engineering 
2146,Brain And Cognitive Sciences,Philosophy and Cognitive Studies
2147,Electrical And Computer Engineering/finance,Software and Computer Engineering
2148,Mathematics Of Finance,Mathematics and Finance
2149,"Economics/finance, Electrical Engineering",Mathematics and Finance
2150,"Mechanical Engineering, Entrepreneurship Option In Engineering",Engineering 
2151,Biotechnology And Food Science,Molecular and Biological Sciences
2152,"Banking, Corporate, Finance, And Securities Law",Banking and Finance Specialization
2153,"History, International Studies",History and Social Sciences
2154,Engineering Entrepreneurship,Engineering 
2155,Media: Film And Television,Marketing and Economics
2156,Fine And Decorative Arts,Cultural and Regional Studies
2157,History Of Costume,History and Social Sciences
2158,"Management, Art History",History and Social Sciences
2159,Tefl,Engineering 
2160,Engineering And Project Management,Engineering 
2161,Electrical Computer Engineering,Software and Computer Engineering
2162,Maskinteknik,Engineering 
2163,International Baccalaureate Programme,International Business and Finance
2164,Computer Science With A Year In Industry,Software and Computer Engineering
2165,Civil Engineer,Engineering 
2166,Transportation,Engineering 
2167,Commercial And Criminal Law,Marketing and Economics
2168,English/economics,Marketing and Economics
2169,Otolaryngology/head And Neck Surgery Residency,Cultural and Regional Studies
2170,Applied Physics And Mathematics,Mathematics and Finance
2171,Agriculture And Food Engineering,Engineering 
2172,"With A Focus On Entrepreneurship, Strategy, And Organizational Leadership",Marketing and Economics
2173,Liberal Arts And Sciences,General Sciences
2174,"Marketing/gestión De Marketing, General",Marketing and Economics
2175,Computation For Design And Optimization,Engineering 
2176,"Psychology, Neuroscience",Psychology and Counseling
2177,Engenharia De Produção,Engineering 
2178,"Biology, Environmental Sciences",Molecular and Biological Sciences
2179,Business Admin / Political Science,History and Social Sciences
2180,Computer Science And Innovation,Software and Computer Engineering
2181,"Ingeniería Electrónica, Robótica Y Mecatrónica",Engineering 
2182,Innovation Excelence Program,Software and Computer Engineering
2183,Energy Systems,Sustainable Energy Engineering
2184,Accounting And Operations Management,Information and Data Management
2185,Photography,Engineering 
2186,Sound Art,Engineering 
2187,Comparative Literature,Cultural and Regional Studies
2188,History Of Art,History and Social Sciences
2189,Study Of Exponential Technologies That Address The World's Grand Challenges,Sustainable Energy Engineering
2190,Sustainability Studies,Sustainable Energy Engineering
2191,Cities Management And Planning,Information and Data Management
2192,Computer Science Inovation,Software and Computer Engineering
2193,"Machine Learning, Recommender Systems, Data Analytics",Information and Data Management
2194,Physics And Applied Mathematics,Mathematics and Finance
2195,Independent Music Producer,Information and Data Management
2196,Advertising And Marketing,Marketing and Economics
2197,Media And Game Development,Software and Computer Engineering
2198,Matemática Aplicada,Molecular and Biological Sciences
2199,High School/secondary Diploma Programs,Software and Computer Engineering
2200,Medical Physics,General Sciences
2201,It Specialist,Engineering 
2202,Diseñadora Industrial,Engineering 
2203,"Management Accounting, Corporate Finance, Project Management",Mathematics and Finance
2204,Composition,Engineering 
2205,Physiology,Molecular and Biological Sciences
2206,Ib Diploma,Engineering 
2207,Mercadotecnia,Psychology and Counseling
2208,"Empresa, Gestión, Marketing Y Disciplinas Afines",Marketing and Economics
2209,Yc Founder,History and Social Sciences
2210,Administración Y Gestión De Empresas,Marketing and Economics
2211,Global Innovation Program,International Business and Finance
2212,Biochemistry And Computer Science,Molecular and Biological Sciences
2213,Evidence,Information and Data Management
2214,Economia E Commercio,Marketing and Economics
2215,Liceo Scientifico,General Sciences
2216,Strategic Management Of International Business,International Business and Finance
2217,Gerencia Estratégica De Negocios Internacionales,International Business and Finance
2218,Geografia,General Sciences
2219,"Sensoriamento Remoto, Geoprocessamento",Software and Computer Engineering
2220,Geodesy,General Sciences
2221,Economy,Marketing and Economics
2222,Doing Business In China,International Business and Finance
2223,"50/50, All 4 Years",Mathematics and Finance
2224,Operations Management,Information and Data Management
2225,"Finance, Philosophy",Mathematics and Finance
2226,Eletronic Commerce,Marketing and Economics
2227,Cell Biology,Molecular and Biological Sciences
2228,Busines,Marketing and Economics
2229,English/history,History and Social Sciences
2230,"Mis, Business",International Business and Finance
2231,Physics And Economics,Mathematics and Finance
2232,Business Law,Law and International Relations
2233,Clinical Engineering,Engineering 
2234,"Biomedical And Electrical Engineering, Minor Biology",Engineering 
2235,"Film And Media Studies, Technology Entrepreneurship Certificate",Marketing and Economics
2236,Government And Philosophy,Philosophy and Cognitive Studies
2237,"Computer Science, Statistics",Software and Computer Engineering
2238,"Electrical Engineering, Computer Science, Management",Software and Computer Engineering
2239,Never Finished,Engineering 
2240,Creative Marketing And Sales,Marketing and Economics
2241,Ingenieurwissenschaften,International Business and Finance
2242,Maschinenbau,Cultural and Regional Studies
2243,"English, Government",Law and International Relations
2244,Astrophysics And Product Design,Engineering 
2245,Applied Mathematics And Biology,Molecular and Biological Sciences
2246,"Entrepreneurship, Strategic Management, Venture Capital",International Business and Finance
2247,Management / Consumer Behavior,Marketing and Economics
2248,Data Science / Machine Learning,Software and Computer Engineering
2249,"Systems, Computer Science",Software and Computer Engineering
2250,"Industrial Systems, Manufacture And Management",Engineering 
2251,Chinese And Economics,Marketing and Economics
2252,General Engineering Computing Focus,Software and Computer Engineering
2253,"Honours Mathematics, Statistics Major",Mathematics and Finance
2254,Trade And Intrenational Development,International Business and Finance
2255,International Economy,International Business and Finance
2256,"Honours Degree, Technology Management",Software and Computer Engineering
2257,Launch The Venture,Marketing and Economics
2258,Business Finance,International Business and Finance
2259,Neurosurgery,General Sciences
2260,"Chemistry, Natural And Synthetic Polymers",Molecular and Biological Sciences
2261,"Finance Economics, Finance, Accounting, Management, Graphic Design",Mathematics and Finance
2262,Machine Learning And Chemistry,Molecular and Biological Sciences
2263,Computer Science And Biology,Software and Computer Engineering
2264,Media And Cultural Studies,Cultural and Regional Studies
2265,College Of Agriculture,Marketing and Economics
2266,Technological Entrepreneurship And Management,Marketing and Economics
2267,"Physics, Computer Science",Software and Computer Engineering
2268,Bachelor Of Science In Interdisciplinary Studies In Bioinformatics,Molecular and Biological Sciences
